题号,题目,所属产品,当前chunkid列表,图片id列表,是否修改
153,考虑到燃油高度易燃且有毒，使用发电机时我需要注意什么？,发电机,"[""manual_01d719162576_small_0001_0000_0000"", ""manual_01d719162576_small_0001_0001_0000"", ""manual_01d719162576_small_0001_0002_0000"", ""manual_01d719162576_small_0009_0001_0000"", ""manual_01d719162576_small_0029_0000_0000"", ""manual_01d719162576_small_0029_0000_0001"", ""manual_01d719162576_mid_0001_0000"", ""manual_01d719162576_mid_0001_0001"", ""manual_01d719162576_mid_0001_0002"", ""manual_01d719162576_mid_0009_0001"", ""manual_01d719162576_mid_0029_0000"", ""manual_01d719162576_big_0001"", ""manual_01d719162576_big_0009"", ""manual_01d719162576_big_0029""]","[""generator_03"", ""generator_20"", ""generator_21""]",
154,发电机工作后，发动机和消音器可能会发烫，这种情况下我该如何保证自身安全？,发电机,"[""manual_01d719162576_small_0002_0000_0000"", ""manual_01d719162576_small_0008_0001_0000"", ""manual_01d719162576_small_0024_0000_0000"", ""manual_01d719162576_mid_0002_0000"", ""manual_01d719162576_mid_0008_0001"", ""manual_01d719162576_mid_0024_0000"", ""manual_01d719162576_big_0002"", ""manual_01d719162576_big_0008"", ""manual_01d719162576_big_0024""]","[""Manual18_53"", ""generator_04"", ""generator_11""]",
155,日常使用中，如何防止发电机触电事故的发生？,发电机,"[""manual_01d719162576_small_0003_0000_0001"", ""manual_01d719162576_small_0003_0001_0000"", ""manual_01d719162576_small_0004_0000_0000"", ""manual_01d719162576_small_0004_0001_0000"", ""manual_01d719162576_small_0005_0000_0000"", ""manual_01d719162576_mid_0003_0000"", ""manual_01d719162576_mid_0003_0001"", ""manual_01d719162576_mid_0004_0000"", ""manual_01d719162576_mid_0004_0001"", ""manual_01d719162576_mid_0005_0000"", ""manual_01d719162576_big_0003"", ""manual_01d719162576_big_0004"", ""manual_01d719162576_big_0005""]","[""Manual18_12"", ""Manual18_13"", ""Manual18_14""]",
156,需要通过发电机的燃油开关旋钮供油时，我该遵循哪些步骤？,发电机,"[""manual_01d719162576_small_0008_0000_0000"", ""manual_01d719162576_small_0012_0000_0000"", ""manual_01d719162576_small_0013_0000_0000"", ""manual_01d719162576_small_0018_0000_0000"", ""manual_01d719162576_mid_0008_0000"", ""manual_01d719162576_mid_0012_0000"", ""manual_01d719162576_mid_0013_0000"", ""manual_01d719162576_mid_0018_0000"", ""manual_01d719162576_big_0008"", ""manual_01d719162576_big_0012"", ""manual_01d719162576_big_0013"", ""manual_01d719162576_big_0018""]","[""Manual18_19"", ""Manual18_20"", ""Manual18_28"", ""Manual18_40""]",
157,使用发电机时，燃油的使用前检查十分重要，该如何操作？,发电机,"[""manual_01d719162576_small_0008_0001_0000"", ""manual_01d719162576_small_0009_0000_0000"", ""manual_01d719162576_small_0009_0001_0000"", ""manual_01d719162576_mid_0008_0001"", ""manual_01d719162576_mid_0009_0000"", ""manual_01d719162576_mid_0009_0001"", ""manual_01d719162576_big_0008"", ""manual_01d719162576_big_0009""]","[""generator_12"", ""generator_14""]",
158,启动发电机发动机的前两个步骤是什么？,发电机,"[""manual_01d719162576_small_0011_0001_0000"", ""manual_01d719162576_small_0012_0000_0000"", ""manual_01d719162576_mid_0011_0001"", ""manual_01d719162576_mid_0012_0000"", ""manual_01d719162576_big_0011"", ""manual_01d719162576_big_0012""]","[""Manual18_26"", ""Manual18_27""]",
159,我需要给发电机连接交流电，该过程中如何保证自身安全？,发电机,"[""manual_01d719162576_small_0004_0001_0000"", ""manual_01d719162576_small_0014_0000_0000"", ""manual_01d719162576_small_0014_0001_0000"", ""manual_01d719162576_mid_0004_0001"", ""manual_01d719162576_mid_0014_0000"", ""manual_01d719162576_mid_0014_0001"", ""manual_01d719162576_big_0004"", ""manual_01d719162576_big_0014""]","[""Manual18_16"", ""Manual18_33"", ""Manual18_34"", ""Manual18_35""]",
160,我注意到发电机上有两种不同的开关，请为我介绍一下。,发电机,"[""manual_01d719162576_small_0006_0000_0000"", ""manual_01d719162576_small_0006_0000_0001"", ""manual_01d719162576_small_0006_0000_0002"", ""manual_01d719162576_small_0014_0001_0000"", ""manual_01d719162576_small_0018_0000_0000"", ""manual_01d719162576_mid_0006_0000"", ""manual_01d719162576_mid_0014_0001"", ""manual_01d719162576_mid_0018_0000"", ""manual_01d719162576_big_0006"", ""manual_01d719162576_big_0014"", ""manual_01d719162576_big_0018""]","[""Manual18_35"", ""generator_24""]",
161,我该在哪里查找并记录发电机的标识信息？,发电机,"[""manual_01d719162576_small_0000_0000_0000"", ""manual_01d719162576_small_0000_0000_0001"", ""manual_01d719162576_small_0000_0000_0002"", ""manual_01d719162576_mid_0000_0000"", ""manual_01d719162576_big_0000""]","[""Manual18_0"", ""Manual18_1""]",
162,使用发电机的直流保护器时，我需要注意什么？,发电机,"[""manual_01d719162576_small_0007_0000_0000"", ""manual_01d719162576_small_0016_0000_0000"", ""manual_01d719162576_small_0016_0000_0001"", ""manual_01d719162576_small_0016_0000_0002"", ""manual_01d719162576_small_0016_0001_0000"", ""manual_01d719162576_mid_0007_0000"", ""manual_01d719162576_mid_0016_0000"", ""manual_01d719162576_mid_0016_0001"", ""manual_01d719162576_big_0007"", ""manual_01d719162576_big_0016""]","[""Manual18_37"", ""Manual18_38"", ""Manual18_39"", ""generator_08"", ""generator_09""]",
